rank,profile_id,rating,name,highest_rating,streak,lowest_streak,highest_streak,games,wins,losses,drops,last_match,last_match_time
64,223206,2031,への字クラブ | NOC,2031.0,4,-5.0,13.0,209,136,73,2,1594547603,1594547603
65,1755520,2031,sddfge,2031.0,9,-4.0,32.0,76,65,11,0,1594548978,1594548978
66,1428813,2027,GavoWinsKotd3,2027.0,3,-7.0,7.0,286,166,120,3,1594629638,1594629638
67,1262725,2025,Noisick,2147.0,2,-8.0,10.0,529,298,231,4,1594679332,1594679332
68,560474,2024,Sunzets,2027.0,1,-3.0,11.0,107,74,33,2,1594489951,1594489951
69,226575,2023,lyx,2074.0,1,-6.0,8.0,402,242,160,10,1594386931,1594386931
70,290617,2022,www.twitch.tv/sobek_aoe,2081.0,-4,-11.0,12.0,678,413,265,19,1594611829,1594611829
71,225365,2021,Obadiah,2022.0,1,-5.0,6.0,516,294,222,6,1594690574,1594690574
72,2621722,2018,Twigg,2118.0,-1,-8.0,18.0,258,159,99,2,1594685327,1594685327
73,1754629,2016,SalzZ_classicpro,2091.0,1,-5.0,13.0,296,175,121,3,1594675579,1594675579
74,599689,2014,RoR | Vodka_L_,2118.0,-2,-8.0,11.0,529,305,224,40,1594664318,1594664318
75,562401,2014,cns_grunt,2124.0,3,-4.0,27.0,141,102,39,1,1593194833,1593194833
76,2461090,2014,_BAT_AocEr_PAL,2022.0,4,-7.0,12.0,380,216,164,3,1594299388,1594299388
77,235623,2013,Twitch.tv | SpringTV,2068.0,-1,-9.0,12.0,970,529,441,15,1594580537,1594580537
78,2602752,2013,Hisoka,2077.0,-1,-2.0,28.0,71,59,12,0,1593019194,1593019194
79,580573,2012,Puerco_Prieto,2041.0,-2,-5.0,10.0,680,376,304,15,1594415841,1594415841
80,312774,2010,Keno_,2010.0,2,-5.0,12.0,465,269,196,6,1594060467,1594060467
81,280459,2007,AoL_RecoN,2007.0,4,-6.0,11.0,391,224,167,3,1594406162,1594406162
82,213305,2004,PGP | PROject_Belgium,2171.0,-1,-9.0,11.0,1425,826,599,8,1594648600,1594648600
83,197751,1999,Nili_AoE,2096.0,2,-7.0,10.0,504,290,214,4,1594151950,1594151950
84,1966276,1998,_Ares_MING,2057.0,1,-6.0,8.0,303,176,127,2,1594474983,1594474983
85,335648,1993,小安吉             KKS,1993.0,5,-1.0,24.0,39,36,3,0,1594208873,1594208873
86,239238,1992,Fedex,2011.0,1,-5.0,7.0,387,223,164,5,1594673212,1594673212
87,2876803,1988,ziying,2027.0,-2,-3.0,19.0,116,83,33,1,1594688792,1594688792
88,250103,1987,_Hallis,2004.0,3,-7.0,8.0,842,450,392,11,1594411130,1594411130
89,301918,1985,Scotty,2005.0,1,-7.0,7.0,538,299,239,3,1594576695,1594576695
90,2093938,1984,Gangnam_Style,1984.0,5,-3.0,18.0,75,61,14,0,1593878305,1593878305
91,738273,1983,K.,2005.0,1,-5.0,11.0,334,192,142,6,1594670987,1594670987
92,1515905,1983,Buns,2005.0,1,-5.0,22.0,334,196,138,6,1594648600,1594648600
93,229071,1980,Uzzi,2010.0,-2,-8.0,20.0,549,308,241,12,1594604148,1594604148
94,553584,1975,[bK]martinhs_,1991.0,-1,-5.0,17.0,348,206,142,2,1594694884,1594694884
95,1832072,1972,Nate River,2048.0,2,-4.0,25.0,110,80,30,0,1592503044,1592503044
96,1893397,1971,GoKu,1985.0,1,-3.0,8.0,186,108,78,11,1594341091,1594341091
97,308109,1967,OnLeKe,1967.0,9,-3.0,12.0,162,112,50,3,1594142652,1594142652
